User,Precision,Recall,F1-Score,Support
user01,0.98,0.97,0.98,172
user10,0.96,0.95,0.96,179
user11,0.95,0.99,0.97,198
user12,0.94,0.99,0.96,168
user13,0.99,0.97,0.98,174
user14,0.99,0.95,0.97,178
user15,0.84,0.90,0.87,48
user16,0.97,0.91,0.94,159
user17,0.94,0.96,0.95,178
user18,0.94,0.92,0.93,169
user19,0.87,0.93,0.90,174
user02,0.99,0.95,0.97,170
user20,0.97,0.64,0.77,50
user21,0.95,0.93,0.94,181
user22,0.97,0.96,0.96,172
user23,0.93,0.96,0.94,181
user24,0.94,0.96,0.95,167
user25,1.00,0.93,0.96,179
user26,0.94,0.92,0.93,134
user27,0.99,0.99,0.99,204
user28,0.97,0.93,0.95,156
user29,0.97,0.96,0.97,187
user03,0.95,0.92,0.94,176
user30,0.99,0.96,0.97,161
user31,0.94,0.97,0.96,193
user32,0.98,0.95,0.97,164
user33,0.93,0.95,0.94,173
user34,0.96,0.94,0.95,181
user35,0.97,0.97,0.97,156
user36,0.97,0.97,0.97,157
user37,0.97,0.97,0.97,172
user38,0.95,0.97,0.96,154
user39,0.79,0.93,0.86,160
user04,0.98,0.98,0.98,174
user40,0.95,0.98,0.97,179
user41,0.98,0.94,0.96,179
user42,1.00,0.85,0.92,167
user43,1.00,0.97,0.99,176
user44,0.94,0.96,0.95,176
user45,0.98,0.95,0.96,187
user46,0.90,0.95,0.93,160
user47,0.88,0.96,0.92,168
user48,0.96,0.96,0.96,149
user49,0.93,0.98,0.95,171
user05,0.99,0.92,0.95,179
user50,0.92,0.96,0.94,160
user51,0.98,0.95,0.97,176
user52,0.96,0.93,0.95,166
user06,0.97,0.98,0.97,186
user07,0.85,0.94,0.89,111
user08,0.96,0.97,0.97,157
user09,0.90,0.97,0.93,165
