User,Precision,Recall,F1-Score,Support
user01,1.00,1.00,1.00,172
user10,0.99,1.00,1.00,179
user11,1.00,1.00,1.00,198
user12,1.00,0.99,1.00,168
user13,0.99,0.99,0.99,174
user14,1.00,1.00,1.00,178
user15,0.79,0.40,0.53,48
user16,0.99,1.00,0.99,159
user17,1.00,0.99,1.00,178
user18,0.99,1.00,1.00,169
user19,1.00,0.99,1.00,174
user02,1.00,1.00,1.00,170
user20,0.95,0.84,0.89,50
user21,1.00,0.99,1.00,181
user22,1.00,1.00,1.00,172
user23,0.97,1.00,0.98,181
user24,1.00,0.98,0.99,167
user25,0.99,1.00,1.00,179
user26,0.82,0.96,0.88,134
user27,1.00,0.99,1.00,204
user28,1.00,1.00,1.00,156
user29,1.00,0.99,0.99,187
user03,1.00,0.99,1.00,176
user30,1.00,0.99,1.00,161
user31,0.99,1.00,1.00,193
user32,1.00,1.00,1.00,164
user33,1.00,1.00,1.00,173
user34,1.00,1.00,1.00,181
user35,1.00,1.00,1.00,156
user36,1.00,1.00,1.00,157
user37,1.00,0.99,1.00,172
user38,0.99,1.00,1.00,154
user39,1.00,1.00,1.00,160
user04,1.00,1.00,1.00,174
user40,1.00,1.00,1.00,179
user41,1.00,1.00,1.00,179
user42,1.00,0.99,1.00,167
user43,1.00,1.00,1.00,176
user44,1.00,0.99,1.00,176
user45,0.99,1.00,1.00,187
user46,1.00,1.00,1.00,160
user47,1.00,0.99,1.00,168
user48,1.00,1.00,1.00,149
user49,1.00,1.00,1.00,171
user05,1.00,0.99,1.00,179
user50,1.00,0.99,1.00,160
user51,0.98,1.00,0.99,176
user52,0.99,1.00,0.99,166
user06,1.00,1.00,1.00,186
user07,0.92,0.97,0.95,111
user08,1.00,0.99,1.00,157
user09,0.99,1.00,0.99,165
