User,Precision,Recall,F1-Score,Support
user01,1,0.98,0.99,172
user02,0.93,0.97,0.95,179
user03,0.72,0.82,0.77,199
user04,0.9,0.83,0.86,168
user05,0.92,0.82,0.86,174
user06,0.83,0.91,0.87,175
user07,0.96,0.88,0.92,134
user08,0.86,0.96,0.91,150
user09,0.98,0.85,0.91,185
user10,0.99,0.9,0.94,167
user11,0.79,0.95,0.86,175
user12,0.87,0.87,0.87,191
user13,0.85,0.89,0.87,159
user14,0.99,0.97,0.98,179
user16,0.76,0.88,0.82,170
user17,0.94,0.91,0.93,185
user18,0.9,0.8,0.85,176
user19,0.97,0.72,0.83,200
user21,0.78,0.94,0.85,168
user22,0.92,0.92,0.92,170
user23,0.91,0.97,0.94,183
user24,0.92,0.8,0.85,176
user25,0.97,0.86,0.91,168
user26,0.97,0.88,0.92,140
user27,0.93,0.96,0.95,161
user28,0.8,0.55,0.65,174
user29,0.91,0.91,0.91,189
user30,0.77,0.87,0.82,143
user31,0.94,0.94,0.94,163
user32,0.92,0.88,0.9,166
user33,0.95,0.84,0.89,156
user34,0.93,0.99,0.96,179
user35,0.97,0.98,0.97,173
user36,0.94,0.91,0.93,174
user37,0.98,0.93,0.95,179
user38,0.85,0.89,0.87,169
user39,0.65,0.84,0.73,164
user40,0.73,0.83,0.78,172
user41,0.79,0.92,0.85,180
user42,0.63,0.64,0.64,168
user43,0.99,0.94,0.97,163
user44,0.69,0.62,0.66,159
user45,0.98,0.89,0.93,174
user46,0.94,0.85,0.89,155
user47,0.87,0.97,0.92,166
user48,0.95,0.88,0.91,171
user49,0.98,0.95,0.97,176
user50,0.81,0.96,0.88,167
user51,0.97,0.93,0.95,162
user52,0.88,0.93,0.9,176
