User,Precision,Recall,F1-Score,Support
user01,0.98,0.99,0.99,172
user02,1.0,0.98,0.99,179
user03,0.99,0.96,0.98,199
user04,0.94,0.99,0.97,168
user05,0.99,0.96,0.97,174
user06,0.93,0.98,0.96,175
user07,0.96,0.99,0.98,134
user08,0.99,0.98,0.99,150
user09,1.0,0.96,0.98,185
user10,0.98,0.99,0.99,167
user11,1.0,0.99,1.0,175
user12,0.94,1.0,0.97,191
user13,1.0,0.97,0.98,159
user14,1.0,0.99,1.0,179
user16,0.97,0.99,0.98,170
user17,1.0,0.97,0.99,185
user18,0.99,0.97,0.98,176
user19,1.0,0.98,0.99,200
user21,0.99,0.97,0.98,168
user22,0.99,1.0,0.99,170
user23,0.98,0.99,0.99,183
user24,0.99,0.96,0.98,176
user25,1.0,0.86,0.92,168
user26,0.91,1.0,0.95,140
user27,0.99,0.99,0.99,161
user28,0.99,0.99,0.99,174
user29,1.0,0.99,0.99,189
user30,0.98,0.97,0.97,143
user31,1.0,0.99,0.99,163
user32,0.99,0.98,0.98,166
user33,0.99,1.0,1.0,156
user34,0.97,1.0,0.98,179
user35,1.0,0.98,0.99,173
user36,0.99,0.99,0.99,174
user37,1.0,0.94,0.97,179
user38,0.99,1.0,1.0,169
user39,0.96,0.99,0.98,164
user40,0.98,0.99,0.99,172
user41,1.0,0.99,0.99,180
user42,0.99,0.98,0.99,168
user43,0.99,1.0,1.0,163
user44,0.96,1.0,0.98,159
user45,0.98,0.99,0.98,174
user46,0.99,0.97,0.98,155
user47,0.9,1.0,0.95,166
user48,1.0,1.0,1.0,171
user49,0.98,0.99,0.99,176
user50,0.98,0.99,0.99,167
user51,1.0,0.99,1.0,162
user52,1.0,0.99,0.99,176
