User,Precision,Recall,F1-Score,Support
user01,0.99,0.98,0.99,172
user02,1,0.95,0.97,179
user03,0.97,0.98,0.97,199
user04,1,0.98,0.99,168
user05,0.99,0.91,0.95,174
user06,1,0.88,0.94,175
user07,0.96,0.98,0.97,134
user08,0.99,0.99,0.99,150
user09,0.99,0.97,0.98,185
user10,1,0.99,0.99,167
user11,0.99,0.98,0.99,175
user12,0.98,0.97,0.98,191
user13,0.93,0.99,0.96,159
user14,0.99,0.99,0.99,179
user16,0.99,0.98,0.99,170
user17,0.95,0.99,0.97,185
user18,0.85,1,0.92,176
user19,0.99,0.97,0.98,200
user21,0.99,0.97,0.98,168
user22,1,0.98,0.99,170
user23,0.98,0.97,0.97,183
user24,0.94,1,0.97,176
user25,0.98,0.98,0.98,168
user26,0.99,0.99,0.99,140
user27,0.99,0.97,0.98,161
user28,1,0.82,0.9,174
user29,1,0.97,0.99,189
user30,0.99,0.97,0.98,143
user31,0.99,0.99,0.99,163
user32,0.99,0.99,0.99,166
user33,0.99,0.93,0.96,156
user34,0.78,0.99,0.87,179
user35,0.99,0.99,0.99,173
user36,0.99,0.96,0.97,174
user37,0.98,0.98,0.98,179
user38,0.98,0.98,0.98,169
user39,0.99,0.94,0.97,164
user40,1,0.99,0.99,172
user41,0.98,0.99,0.99,180
user42,0.95,0.99,0.97,168
user43,0.99,0.98,0.98,163
user44,0.99,0.99,0.99,159
user45,0.99,0.98,0.99,174
user46,0.88,1,0.93,155
user47,0.96,0.98,0.97,166
user48,0.98,0.99,0.99,171
user49,0.97,0.98,0.97,176
user50,0.97,0.99,0.98,167
user51,1,0.99,1,162
user52,1,0.96,0.98,176
