Experiment_Number,Metric,Model_Config,Score
One,Accuracy,Analysis1_Cycks_with_padding,0.0298
One,Accuracy,Analysis1_Cycks_without_padding,0.9135
One,Accuracy,Analysis1_Vgg_without_padding,0.9511
One,Accuracy,Analysis1_Vgg_with_padding,0.9578
One,Accuracy,Analysis1_red_cycks_without_padding,0.9578
One,Accuracy,Analysis1_red_cycks_with_padding,0.9726
One,Balanced_Acc,Analysis1_Cycks_with_padding,0.0308
One,Balanced_Acc,Analysis1_Cycks_without_padding,0.8947
One,Balanced_Acc,Analysis1_Vgg_without_padding,0.9456
One,Balanced_Acc,Analysis1_Vgg_with_padding,0.9518
One,Balanced_Acc,Analysis1_red_cycks_without_padding,0.9518
One,Balanced_Acc,Analysis1_red_cycks_with_padding,0.9607
One,F1,Analysis1_Cycks_with_padding,0.0156
One,F1,Analysis1_Cycks_without_padding,0.911
One,F1,Analysis1_Vgg_without_padding,0.9512
One,F1,Analysis1_Vgg_with_padding,0.9579
One,F1,Analysis1_red_cycks_without_padding,0.9579
One,F1,Analysis1_red_cycks_with_padding,0.9724
One,Log_Loss,Analysis1_Cycks_with_padding,3.8865
One,Log_Loss,Analysis1_Cycks_without_padding,0.3991
One,Log_Loss,Analysis1_Vgg_without_padding,0.2339
One,Log_Loss,Analysis1_Vgg_with_padding,0.2025
One,Log_Loss,Analysis1_red_cycks_without_padding,0.2025
One,Log_Loss,Analysis1_red_cycks_with_padding,0.0808
One,Precision,Analysis1_Cycks_with_padding,0.0202
One,Precision,Analysis1_Cycks_without_padding,0.9223
One,Precision,Analysis1_Vgg_without_padding,0.9528
One,Precision,Analysis1_Vgg_with_padding,0.9592
One,Precision,Analysis1_red_cycks_without_padding,0.9592
One,Precision,Analysis1_red_cycks_with_padding,0.9744
One,Recall,Analysis1_Cycks_with_padding,0.0298
One,Recall,Analysis1_Cycks_without_padding,0.9135
One,Recall,Analysis1_Vgg_without_padding,0.9511
One,Recall,Analysis1_Vgg_with_padding,0.9578
One,Recall,Analysis1_red_cycks_without_padding,0.9578
One,Recall,Analysis1_red_cycks_with_padding,0.9726
One,ROC-AUC,Analysis1_Cycks_with_padding,0.512
One,ROC-AUC,Analysis1_Cycks_without_padding,0.9988
One,ROC-AUC,Analysis1_Vgg_without_padding,0.9992
One,ROC-AUC,Analysis1_Vgg_with_padding,0.9994
One,ROC-AUC,Analysis1_red_cycks_without_padding,0.9994
One,ROC-AUC,Analysis1_red_cycks_with_padding,0.9999
