User,Precision,Recall,F1-Score,Support
user1,1.00,0.97,0.98,172
user10,0.99,0.96,0.97,179
user11,0.95,0.96,0.96,198
user12,0.96,0.93,0.95,168
user13,1.00,0.67,0.80,174
user14,0.83,0.99,0.91,178
user15,0.89,0.33,0.48,48
user16,0.91,0.97,0.94,159
user17,0.96,0.95,0.95,178
user18,0.96,0.99,0.97,169
user19,0.91,0.83,0.86,174
user2,0.90,0.96,0.93,170
user20,0.88,0.14,0.24,50
user21,0.96,0.83,0.89,181
user22,1.00,0.74,0.85,172
user23,0.90,0.93,0.91,181
user24,0.86,0.98,0.92,167
user25,0.99,0.82,0.89,179
user26,0.78,0.94,0.85,134
user27,0.96,0.99,0.97,204
user28,0.99,0.87,0.92,156
user29,0.97,0.98,0.98,187
user3,0.95,0.86,0.90,176
user30,0.90,0.97,0.93,161
user31,0.99,0.96,0.97,193
user32,0.97,0.98,0.98,164
user33,0.98,0.80,0.88,173
user34,0.84,0.98,0.91,181
user35,0.90,0.97,0.94,156
user36,0.95,0.99,0.97,157
user37,0.83,0.91,0.87,172
user38,0.99,0.87,0.93,154
user39,0.77,0.94,0.85,160
user4,0.92,0.97,0.94,174
user40,0.89,0.99,0.94,179
user41,0.95,0.97,0.96,179
user42,0.92,0.93,0.92,167
user43,0.99,0.82,0.90,176
user44,0.94,0.97,0.96,176
user45,0.97,0.90,0.93,187
user46,0.89,0.96,0.92,160
user47,0.95,0.83,0.89,168
user48,1.00,0.79,0.88,149
user49,0.98,0.98,0.98,171
user5,0.83,0.92,0.87,179
user50,0.75,1.00,0.86,160
user51,0.95,0.99,0.97,176
user52,0.77,0.98,0.86,166
user6,0.97,0.93,0.95,186
user7,0.71,0.93,0.80,111
user8,0.75,0.97,0.85,157
user9,1.00,0.73,0.85,165
