User,Precision,Recall,F1-Score,Support
user01,1.00,1.00,1.00,172
user10,1.00,0.98,0.99,179
user11,0.99,0.99,0.99,198
user12,0.99,0.98,0.99,168
user13,0.99,1.00,0.99,174
user14,1.00,0.96,0.98,178
user15,0.83,0.60,0.70,48
user16,0.99,0.97,0.98,159
user17,0.91,0.99,0.95,178
user18,0.89,0.98,0.94,169
user19,0.99,0.98,0.99,174
user02,1.00,0.99,0.99,170
user20,0.93,0.50,0.65,50
user21,0.91,1.00,0.95,181
user22,0.99,0.99,0.99,172
user23,0.94,1.00,0.97,181
user24,0.96,0.99,0.98,167
user25,0.94,0.99,0.96,179
user26,0.87,0.95,0.91,134
user27,0.98,0.99,0.99,204
user28,1.00,0.99,0.99,156
user29,1.00,0.97,0.98,187
user03,0.98,0.95,0.97,176
user30,0.99,0.98,0.98,161
user31,1.00,0.95,0.98,193
user32,1.00,0.99,1.00,164
user33,0.99,0.95,0.97,173
user34,0.99,1.00,1.00,181
user35,0.99,0.94,0.96,156
user36,1.00,0.97,0.98,157
user37,1.00,0.96,0.98,172
user38,1.00,0.97,0.99,154
user39,0.96,0.99,0.98,160
user04,0.99,0.90,0.95,174
user40,1.00,0.97,0.99,179
user41,1.00,0.98,0.99,179
user42,0.99,0.98,0.98,167
user43,1.00,0.99,1.00,176
user44,0.95,0.99,0.97,176
user45,1.00,0.97,0.98,187
user46,0.86,1.00,0.92,160
user47,0.92,0.98,0.95,168
user48,1.00,0.98,0.99,149
user49,1.00,0.98,0.99,171
user05,1.00,0.98,0.99,179
user50,0.99,0.96,0.97,160
user51,1.00,0.96,0.98,176
user52,1.00,0.93,0.96,166
user06,0.95,0.99,0.97,186
user07,0.78,0.96,0.86,111
user08,1.00,0.97,0.99,157
user09,0.99,0.98,0.99,165
